BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20201230,0.03202248867314841,8,0.0064,389.29,21.63,21011,402.5,375,0.64,0.68,3738,1795,102.75116237252433,33907883.58293303,1407496.1195601267,213465539.82891935,-178150160.1264262,-0.01781501601264262
20210107,0.03822184701242336,7,0.006500000000000001,410.81,27.6,21012,427.5,395,1.28,1.48,130090,94672,97.36861322752611,67184343.12699302,1254950.3770199404,57204060.27117214,11235233.232840814,0.0011235233232840813
20210114,0.044315184941940124,7,0.0068000000000000005,429.85,32,21013,450,410,1.46,1.7,4455,3434,93.05571711061998,73514016.51738979,1313696.6224280212,0,74827713.1398178,0.007482771313981781
20210121,0.04614318632079516,7,0.006600000000000001,430.27,33.32,21014,452.5,410,NA,1.18,NA,1731,92.96488251562972,NA,1265753.4246575343,0,1265753.4246575343,1.2657534246575343e-4
20210128,0.04072842466070185,7,0.006500000000000001,416.4,29.41,21021,435,397.5,1.12,NA,620,NA,96.06147934678195,NA,1246575.3424657537,0,1246575.3424657537,1.2465753424657536e-4
20210204,0.0401175826584325,6,0.006500000000000001,418.31,31.29,21022,437.5,400,0.96,1.7,108409,148644,95.62286342664531,63589204.17871913,1075287.6135971784,0,64664491.79231631,0.006466449179231631
20210210,0.03732255845816326,8,0.0063,419.65,25.21,21023,437.5,402.5,0.92,0.81,2783,943,95.31752651018707,41224830.21565591,1386514.3327201891,0,42611344.5483761,0.00426113445483761
20210218,0.035424450962963386,7,0.0063,417.44,25.58,21024,432.5,402.5,0.68,NA,1413,NA,95.82215408202376,NA,1208219.1780821919,0,1208219.1780821919,1.2082191780821918e-4
20210225,0.040063696886572735,7,0.006500000000000001,422.52,28.93,21031,440,405,NA,1.14,NA,631,94.67007478935909,NA,1246575.3424657537,0,1246575.3424657537,1.2465753424657536e-4
20210304,0.03920509017832265,7,0.0067,414.17,28.31,21032,432.5,397.5,0.92,2.17,73219,52563,96.57869956781032,74607045.41613348,1294518.0011781277,0,75901563.41731161,0.0075901563417311605
20210311,0.0399529089242179,7,0.006600000000000001,411.02,28.85,21033,427.5,392.5,NA,0.92,NA,449,97.31886526203105,NA,1265753.4246575343,0,1265753.4246575343,1.2657534246575343e-4
20210318,0.033970358957055975,7,0.006600000000000001,417.06,24.53,21034,432.5,402.5,0.48,0.63,970,706,95.90946146837385,26614875.55747374,1269122.2116459052,0,27883997.769119646,0.0027883997769119644
20210325,0.03144993281348313,7,0.006600000000000001,408.53,22.71,21041,422.5,395,0.59,0.92,2690,1221,97.91202604459893,36961789.8318361,1270431.8758636464,0,38232221.707699746,0.003823222170769975
20210401,0.028306324381664253,7,0.0064,419.42,20.44,21042,432.5,407.5,0.73,1.09,72578,52895,95.36979638548472,43393257.35539555,1232723.3367932104,0,44625980.692188755,0.004462598069218875
