BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20231012,0.05,28,0.0386,328.85,16.74,23112,347.5,310,0.47,0.68,9819,21090,121.63600425726014,34970351.22396229,29714509.467405096,0,64684860.69136739,0.006468486069136739
20231109,0.05,35,0.0383,325.29,17.56,23122,342.5,307.5,1.27,1.21,11787,6438,122.96719849980018,76239663.06987612,37006025.39272649,0,113245688.46260262,0.011324568846260262
20231214,0.05,28,0.0398,341.33,14.3,24012,360,322.5,0.28,0.65,10983,7541,117.18864442035567,27246359.827732697,30614694.091485,0,57861053.9192177,0.00578610539192177
20240111,0.05,28,0.0405,340.28,16.79,24022,357.5,322.5,1.44,0.88,7753,5133,117.55025273304338,68179146.58516516,31280315.485555004,0,99459462.07072017,0.009945946207072016
20240208,0.05,35,0.038700000000000005,353.29,17.62,24032,372.5,335,1.53,1.7,3588,3175,113.2214328172323,91426306.99991508,37448868.309127085,0,128875175.30904216,0.012887517530904216
20240314,0.05,28,0.0381,366.68,16.93,24042,387.5,347.5,0.72,1.11,5052,3957,109.08694229300752,49907276.09905095,29373263.238746487,0,79280539.33779743,0.007928053933779744
20240411,0.05,28,0.0374,370.72,18.09,24052,390,350,1.22,1.3,11625,12514,107.89814415192058,67975830.81570996,28885436.411041677,0,96861267.22675164,0.009686126722675164
20240509,0.05,35,0.037000000000000005,368.83,16.46,24062,387.5,350,1.61,1.36,5251,7998,108.45104790825042,80524903.07187594,35765149.998570085,0,116290053.07044603,0.011629005307044603
20240613,0.05,28,0.0364,374.75,17.4,24072,395,355,0.8,1.12,8375,8167,106.7378252168112,51234156.10406938,28066350.279181555,93929286.19079338,-14628779.807542443,-0.0014628779807542443
20240711,0.05,28,0.0365,398.52,16.08,24082,420,377.5,0.89,1.05,10315,3765,100.37137408411121,48680116.43079394,28136304.326006223,772859580.4476566,-696043159.6908565,-0.069604315969085645
20240808,0.05,35,0.0359,346.7,30.17,24092,365,327.5,3.32,5.17,2456,903,115.37352177675224,244880299.97115663,35267649.58058564,0,280147949.55174226,0.028014794955174227
20240912,0.05,28,0.0355,343.85,24.06,24102,362.5,325,1.12,2.11,5016,1953,116.32979496873637,93936309.43725462,27488692.305700354,0,121425001.74295497,0.012142500174295497
20241010,0.05,35,0.0355,345.21,25.62,24112,362.5,327.5,2.81,3.29,1485,788,115.87149850815446,176704035.22493556,34642615.79114241,283885171.34497875,-72538520.32890078,-0.0072538520328900786
20241114,0.05,28,0.034,317.7,24.86,24122,335,300,1.58,2.36,8767,8475,125.90494176896443,124016367.64242996,26405653.649302997,0,150422021.29173297,0.015042202129173296
20241212,0.05,28,0.0335,329.04,20.6,25012,347.5,312.5,0.76,2.02,5030,2542,121.56576707999027,84488208.12059323,25915753.25812909,0,110403961.37872232,0.011040396137872232
