BAS_DD,MMF
20220110,1.35
20220111,1.35
20220112,1.35
20220113,1.35
20220114,1.33
20220117,1.33
20220118,1.33
20220119,1.33
20220120,1.33
20220121,1.37
20220124,1.37
20220125,1.37
20220126,1.37
20220127,1.37
20220128,1.4
20220203,1.4
20220204,1.39
20220207,1.39
20220208,1.39
20220209,1.39
20220210,1.39
20220211,1.37
20220214,1.37
20220215,1.37
20220216,1.37
20220217,1.37
20220218,1.42
20220221,1.42
20220222,1.42
20220223,1.42
20220224,1.42
20220225,1.42
20220228,1.42
20220302,1.42
20220303,1.42
20220304,1.45
20220307,1.45
20220308,1.45
20220310,1.45
20220311,1.41
20220314,1.41
20220315,1.41
20220316,1.41
20220317,1.41
20220318,1.44
20220321,1.44
20220322,1.44
20220323,1.44
20220324,1.44
20220325,1.44
20220328,1.44
20220329,1.44
20220330,1.44
20220331,1.44
20220401,1.45
20220404,1.45
20220405,1.45
20220406,1.45
20220407,1.45
20220408,1.45
20220411,1.45
20220412,1.45
20220413,1.45
20220414,1.45
20220415,1.43
20220418,1.43
20220419,1.43
20220420,1.43
20220421,1.43
20220422,1.51
20220425,1.51
20220426,1.51
20220427,1.51
20220428,1.51
20220429,1.53
20220502,1.53
20220503,1.53
20220504,1.53
20220506,1.54
20220509,1.54
20220510,1.54
20220511,1.54
20220512,1.54
20220513,1.55
20220516,1.55
20220517,1.55
20220518,1.55
20220519,1.55
20220520,1.58
20220523,1.58
20220524,1.58
20220525,1.58
20220526,1.58
20220527,1.63
20220530,1.63
20220531,1.63
20220602,1.63
20220603,1.72
20220607,1.72
20220608,1.72
20220609,1.72
20220610,1.71
20220613,1.71
20220614,1.71
20220615,1.71
20220616,1.71
20220617,1.82
20220620,1.82
20220621,1.82
20220622,1.82
20220623,1.82
20220624,1.85
20220627,1.85
20220628,1.85
20220629,1.85
20220630,1.85
20220701,1.94
20220704,1.94
20220705,1.94
20220706,1.94
20220707,1.94
20220708,1.97
20220711,1.97
20220712,1.97
20220713,1.97
20220714,1.97
20220715,2.04
20220718,2.04
20220719,2.04
20220720,2.04
20220721,2.04
20220722,2.16
20220725,2.16
20220726,2.16
20220727,2.16
20220728,2.16
20220729,2.23
20220801,2.23
20220802,2.23
20220803,2.23
20220804,2.23
20220805,2.3
20220808,2.3
20220809,2.3
20220810,2.3
20220811,2.3
20220812,2.38
20220816,2.38
20220817,2.38
