BAS_DD,KOSPI200,VKOSPI200
20220228,361.54,24.41
20220225,358.44,23.84
20220224,355.04,27.09
20220223,364.44,24.07
20220222,363.51,25.34
20220221,368.29,23.79
20220218,368.55,23.68
20220217,369.55,23.28
20220216,367.3,21.94
20220215,360.43,24.62
20220214,362.98,23.84
20220211,368.61,20.92
20220210,371.57,19.21
20220209,368.65,19.68
20220208,363.48,21.06
20220207,362.92,21.59
20220204,366.34,21.02
20220203,361.6,22.92
20220128,357.98,23.97
20220127,348.58,27.94
20220126,360.83,24.83
20220125,362.39,26.26
20220124,371.3,21.48
20220121,376.08,19.36
20220120,380.39,17.99
20220119,378.21,18.76
20220118,381.01,18.16
20220117,383.81,17.53
20220114,387.45,16.97
20220113,393,15.96
20220112,394.66,15.91
20220111,388.97,17.27
20220110,387.52,17.41
20220107,390.85,16.99
20220106,386.22,17.52
20220105,390.39,16.58
20220104,395.4,16
20220103,395.51,16.57
20211230,394.19,16.5
20211229,396.72,16.55
20211228,401.21,17.07
20211227,398.61,17.46
20211224,400.53,16.5
20211223,398.15,16.93
20211222,396.07,17.42
20211221,393.95,18.32
20211220,391.37,19.52
20211217,398.96,17.02
20211216,397.68,16.98
20211215,395.66,18.43
20211214,395.41,18.4
20211213,397.27,18
20211210,397.97,17.39
20211209,401.13,16.65
20211208,397.27,17.69
20211207,396.31,18.48
20211206,392.85,20.91
20211203,391.96,20.09
20211202,389.64,21.02
20211201,383.13,20.57
20211130,373.24,23.23
20211129,381.63,20.92
20211126,385.07,18.04
20211125,391.93,16.16
20211124,395.4,16.27
20211123,396.44,16.5
20211122,399.07,16.17
20211119,390.53,16.25
20211118,387.44,16.74
20211117,389.44,16.51
20211116,394.07,15.97
20211115,394.36,15.9
20211112,390.38,16.18
20211111,385.97,16.98
20211110,386.24,18.19
20211109,390.36,18
20211108,389.59,18.24
20211105,389.86,18.02
20211104,391.54,17.6
20211103,389.48,18.36
20211102,394.82,17.28
20211101,389.81,18.33
20211029,388.47,18.55
20211028,393.89,17.09
20211027,395.48,16.88
20211026,399.07,16.11
20211025,395.01,17.03
20211022,393.34,17.2
20211021,393.18,17.68
20211020,393.74,17.73
20211019,395.41,17.24
20211018,392.02,18.01
20211015,393.19,17.03
20211014,389.59,18.21
20211013,384.1,20.54
20211012,380.69,22.4
20211008,387.42,20.47
20211007,388.14,20.54
20211006,381.93,21.84
20211005,388.01,21.22
20211001,394.79,18.91
20210930,401.3,17.35
20210929,400.09,17.87
20210928,406.2,16.45
20210927,410.97,15.92
20210924,409.84,16.33
20210923,410.46,16.72
20210917,410.99,15.48
20210916,409.22,15.44
20210915,412.85,14.66
20210914,412.36,14.67
20210913,409.7,15.28
20210910,408.7,15.18
20210909,407.28,16.02
20210908,414.54,14.73
20210907,417.8,14.18
